# frankensim-vibration-gate-summary-v1
# Vibration-lane gate review (music bead 3ez8g.7.1). One row per
# string/plate/nonlinear registry claim; an omitted row is a red test
# (vg-003 enumerates against instrument-claims.json). The selector
# threshold rides in vibration-selector-thresholds.tsv (vg-002
# re-derives it; a hand-edited value fails).
filling	image	qoi	gate	note
string	modal-zoh	pluck-partial-decay	green	X-Exact on the retained basis; truncation cross-check = string-modal-zoh-vs-phs-bank.bakeoff; per-fixture N disclosed; vg-001 truncation gate
string	phs-modal-bank	truncation-authority	green	authority/cross-check claim only; never the performance image (Newton per sample)
plate	dkt-modal	literature-modes	green	Olson-Hazell 1977 five modes + Leissa pin; piano board authority (pg-001)
plate	vfit-driving-point	passive-one-port	ungated	NAMED MISSING: no executed plate-1-port fit artifact; certificate machinery exists (fs-vfit passivity)
string-plate-nl	kc-vonkarman	pitch-glide-analytic	green	1e-12 analytic pins + FD-gradient/trajectory falsifier (Gonzalez caveat: NEVER cite energy conservation); selector threshold is committed data
bowed	modal-stribeck	stick-slip-mechanism	green	live-excitation + even-partial spectrum + stick-slip mechanism gates EXECUTED (acoustic_assembly bow_stroke_is_a_live_excitation / bowed_rich_spectrum_has_even_partials / bowed_gates stick_slip suite)
bowed	kc-friction-compose	helmholtz-corner-per-period	ungated	Menu placeholder (D21/D22): Kirchhoff-Carrier tension nonlinearity COMPOSED with the Stribeck island; composition NOT built — enters ungated with no evidence and must never vanish (KC string channel green on its own row)
string-plate-cavity	vibroacoustic-modal	two-dof-product-invariant	green	cavity/resonator pins attached; consumed by the .7.4 composed-guitar Carcagno gate (gt-001 re-executes the product invariant, defect 0.0)
string-plate-cavity	composed-guitar-carcagno	bridge-admittance-triad	green	Carcagno 2018 BR-guitar triad: F1 +5.9% / F2 +9.9% (15% envelopes), F3 -32.6% (40% envelope, no-X-bracing mechanism disclosed = weakest claim); wolf-note + midline-brace negative control executed; guitar-strum listening receipt Unadjudicated
string	waveguide-dispersive	budget-hero-string	ungated	earned by the executed bake-off receipt (KeepBoth); B ladder within 9.8 cents on the shared card; ops-budget scope, never certified partials
