schema_version	case_id	family	level	metric	reference_value_si	acceptance	formula	source	license	retention	status
1	acoustic-ernoult-2021-xxxx	fingering-ladder	published-experiment	first-impedance-peak-frequency	2.83e2	cents-outer=30,cents-inner=10	measured first impedance peak, all four holes closed	Ernoult, Chabassier, Rodriguez, Humeau, Acta Acustica 5:47 (2021), Table 1 geometry; measured first-peak values from the paper's two-microphone method (sessions Measure1-3 agree within ~3 Hz; stated peak accuracy +-2 cents)	paper CC-BY-4.0; measured curves openwind GPLv3 (curves NOT retained - see acoustic-refused-openwind-curves); scalar peak values retained as facts with dual citation	Table 1 geometry + five scalar first-peak frequencies; no curve bytes	reference-only
1	acoustic-ernoult-2021-xxxo	fingering-ladder	published-experiment	first-impedance-peak-frequency	3.32e2	cents-outer=30,cents-inner=10	measured first impedance peak, hole 4 open	Ernoult, Chabassier, Rodriguez, Humeau, Acta Acustica 5:47 (2021), Table 1 geometry; measured first-peak values from the paper's two-microphone method (sessions Measure1-3 agree within ~3 Hz; stated peak accuracy +-2 cents)	paper CC-BY-4.0; measured curves openwind GPLv3 (curves NOT retained - see acoustic-refused-openwind-curves); scalar peak values retained as facts with dual citation	Table 1 geometry + five scalar first-peak frequencies; no curve bytes	reference-only
1	acoustic-ernoult-2021-xxox	fingering-ladder	published-experiment	first-impedance-peak-frequency	4.49e2	cents-outer=30,cents-inner=10	measured first impedance peak, hole 3 open	Ernoult, Chabassier, Rodriguez, Humeau, Acta Acustica 5:47 (2021), Table 1 geometry; measured first-peak values from the paper's two-microphone method (sessions Measure1-3 agree within ~3 Hz; stated peak accuracy +-2 cents)	paper CC-BY-4.0; measured curves openwind GPLv3 (curves NOT retained - see acoustic-refused-openwind-curves); scalar peak values retained as facts with dual citation	Table 1 geometry + five scalar first-peak frequencies; no curve bytes	reference-only
1	acoustic-ernoult-2021-xoxx	fingering-ladder	published-experiment	first-impedance-peak-frequency	6.19e2	cents-outer=30,cents-inner=10	measured first impedance peak, hole 2 open	Ernoult, Chabassier, Rodriguez, Humeau, Acta Acustica 5:47 (2021), Table 1 geometry; measured first-peak values from the paper's two-microphone method (sessions Measure1-3 agree within ~3 Hz; stated peak accuracy +-2 cents)	paper CC-BY-4.0; measured curves openwind GPLv3 (curves NOT retained - see acoustic-refused-openwind-curves); scalar peak values retained as facts with dual citation	Table 1 geometry + five scalar first-peak frequencies; no curve bytes	reference-only
1	acoustic-ernoult-2021-oxxx	fingering-ladder	published-experiment	first-impedance-peak-frequency	7.7e2	cents-outer=30,cents-inner=10	measured first impedance peak, hole 1 open	Ernoult, Chabassier, Rodriguez, Humeau, Acta Acustica 5:47 (2021), Table 1 geometry; measured first-peak values from the paper's two-microphone method (sessions Measure1-3 agree within ~3 Hz; stated peak accuracy +-2 cents)	paper CC-BY-4.0; measured curves openwind GPLv3 (curves NOT retained - see acoustic-refused-openwind-curves); scalar peak values retained as facts with dual citation	Table 1 geometry + five scalar first-peak frequencies; no curve bytes	reference-only
1	acoustic-leissa-clamped-square-lambda1	plate-reference	analytic-definition	clamped-square-lambda1	3.5992e1	rtol=0.02	lambda = omega a^2 sqrt(rho h / D) = 35.992 (Leissa, NASA SP-160); next clamped mode at 73.41/35.99 ~ 2.04x in omega	Leissa, Vibration of Plates, NASA SP-160 (1969), clamped-square table	US government publication; tabulated eigenvalue is a factual constant	one dimensionless eigenvalue	reference-only
1	acoustic-olson-hazell-1977-mode1	plate-reference	published-experiment	panel-mode-frequency	7.181e2	rtol=0.08	theory 718.1 Hz; experiment 689 Hz	Olson & Hazell (1977) clamped stiffened panel; values reproduced in Srivastava, Datta & Sheikh, Shock and Vibration 11 (2004) 9-19, Table 4 AND Thinh, Binh & Tu (2013), Table 1 (two independent secondary sources)	factual frequency values transcribed under the two-source law; the committed fs-plate literature test is the retained transcription	five theory frequencies (Hz); experiment column noted in formulas	reference-only
1	acoustic-olson-hazell-1977-mode2	plate-reference	published-experiment	panel-mode-frequency	7.514e2	rtol=0.08	theory 751.4 Hz; experiment 725 Hz	Olson & Hazell (1977) clamped stiffened panel; values reproduced in Srivastava, Datta & Sheikh, Shock and Vibration 11 (2004) 9-19, Table 4 AND Thinh, Binh & Tu (2013), Table 1 (two independent secondary sources)	factual frequency values transcribed under the two-source law; the committed fs-plate literature test is the retained transcription	five theory frequencies (Hz); experiment column noted in formulas	reference-only
1	acoustic-olson-hazell-1977-mode3	plate-reference	published-experiment	panel-mode-frequency	9.974e2	rtol=0.08	theory 997.4 Hz; experiment 961 Hz	Olson & Hazell (1977) clamped stiffened panel; values reproduced in Srivastava, Datta & Sheikh, Shock and Vibration 11 (2004) 9-19, Table 4 AND Thinh, Binh & Tu (2013), Table 1 (two independent secondary sources)	factual frequency values transcribed under the two-source law; the committed fs-plate literature test is the retained transcription	five theory frequencies (Hz); experiment column noted in formulas	reference-only
1	acoustic-olson-hazell-1977-mode4	plate-reference	published-experiment	panel-mode-frequency	1.0071e3	rtol=0.08	theory 1007.1 Hz; experiment 986 Hz	Olson & Hazell (1977) clamped stiffened panel; values reproduced in Srivastava, Datta & Sheikh, Shock and Vibration 11 (2004) 9-19, Table 4 AND Thinh, Binh & Tu (2013), Table 1 (two independent secondary sources)	factual frequency values transcribed under the two-source law; the committed fs-plate literature test is the retained transcription	five theory frequencies (Hz); experiment column noted in formulas	reference-only
